"file","line","has_open_div_onclick","has_class_name","class_name_value","has_onclick","has_onkeydown","has_role_button","has_tabindex","cursor_pointer","has_aria","tag_name","classification_initial"
"src/app/components/lawyer/HamiSettings/settings-ui/Segmented.tsx","59","","TRUE","`flex gap-0.5 p-0.5 rounded-lg w-full flex-wrap ${SETTING_GLASS_INNER","false","false","false","false","false","true","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SelectRow.tsx","24","","TRUE","`px-3 py-1.5 ${SETTING_ROW_BORDER","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SelectRow.tsx","25","","TRUE","flex min-w-0 items-center gap-2.5","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SelectRow.tsx","27","","TRUE","`${SETTING_ICON_BOX","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SelectRow.tsx","36","","TRUE","mt-1.5","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingCard.tsx","11","","TRUE","`${SETTING_GLASS","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","64","true","TRUE","`flex items-center justify-between gap-2 px-3 py-1.5 min-h-[44px] touch-manipulation ${!isLast ? SETTING_ROW_BORDER : ''","true","false","false","false","false","false","div","NEEDS-REVIEW-action-missing-semantics"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","69","","TRUE","flex min-w-0 flex-1 items-center gap-2.5","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","70","","TRUE","`${SETTING_ICON_BOX","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","73","","TRUE","min-w-0","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","74","","TRUE","text-[13px] font-medium text-white/95 truncate","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingRow.tsx","91","","TRUE","relative z-[2] shrink-0","false","false","false","false","false","false","div","SAFE-presentation-wrapper"
"src/app/components/lawyer/HamiSettings/settings-ui/SettingsToggleTrack.tsx","5","","TRUE","`pointer-events-none relative h-6 w-10 rounded-full hami-settings-toggle-track ${on ? 'bg-[#E6C673]' : 'bg-white/10'","false","false","false","false","false","true","div","SAFE-presentation-wrapper"
