"file","line","class_initial","class_final","reason","button_within_div"
"src/app/components/admin/HeadquartersUserActivity.tsx","23","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserActivity.tsx","32","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserDossier.tsx","324","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","325","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","326","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","395","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserDossier.tsx","404","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","406","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","423","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserDossier.tsx","442","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","474","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","500","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","534","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserDossier.tsx","569","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserRow.tsx","105","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserRow.tsx","129","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserRow.tsx","176","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersUserRow.tsx","247","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HqAuditLogPanel.tsx","121","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HqAuditLogPanel.tsx","125","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/hqChrome.tsx","14","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/hqChrome.tsx","15","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/hqChrome.tsx","19","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/hqChrome.tsx","49","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/hqChrome.tsx","50","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/hqChrome.tsx","51","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/hqChrome.tsx","56","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/hqChrome.tsx","99","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
