"file","line","category","snippet","first_class_name_60"
"src/app/components/lawyer/dashboard/LawsuitsWorkspaceShell.tsx","215","article","<div className='pointer-events-auto'>{addCaseFab}</div>","pointer-events-auto"
"src/app/components/lawyer/dashboard/LawsuitsWorkspaceUrgentTab.tsx","23","section","<div className={`${URGENT_DOSSIER_DIALOG_PANEL} max-w-md w-full text-right`}>",""
"src/app/components/lawyer/dashboard/LawyerNewCaseInstantPaintCover.tsx","19","section","<div className={NC_SECTION}>",""
"src/app/components/lawyer/dashboard/LawyerNewCaseInstantPaintCover.tsx","49","header","<div className={NC_HEADER}>",""
"src/app/components/lawyer/dashboard/LawyerNewCaseSelectionInstantShell.tsx","38","header","<div className={NC_HEADER}>",""
"src/app/components/lawyer/dashboard/profile/ProfilePagePaintGate.tsx","28","article","<div className={`relative ${PROFILE_PAINT_SLOT_CLASS}`}>",""
"src/app/components/lawyer/dashboard/schedule/RadarOpenInstantChrome.tsx","214","nav","<div className={RADAR_MONTH_NAV} dir='rtl' data-testid='radar-month-nav'>",""
"src/app/components/lawyer/dashboard/tasksManager/DistantTasksSection.tsx","143","section","<div className={`rounded-xl border border-dashed border-[#E6C673]/22 ${TASKS_GLASS_PANEL} px-3 py-3 space-y-3`}>",""
"src/app/components/lawyer/dashboard/tasksManager/TaskHelpInboxPanel.tsx","177","section","<div className={`${TASKS_DIALOG_SUBPANEL} !p-3 min-h-[44px]`} />",""
"src/app/components/lawyer/dashboard/tasksManager/TaskHelpInboxPanel.tsx","178","section","<div className={`${TASKS_DIALOG_SUBPANEL} !p-3 min-h-[44px]`} />",""
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/ActiveOrderFileHeader.tsx","60","header","<div className='max-w-5xl mx-auto px-3 hami-overlay-header-safe-pad pb-2'>","max-w-5xl mx-auto px-3 hami-overlay-header-safe-pad pb-2"
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/ActiveOrderFileView.tsx","65","article","<div className={`${URGENT_DOSSIER_CARD} overflow-hidden`}>",""
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/AdminWorkspacePanel.tsx","228","nav","<div className='mt-3'>{tabBar}</div>","mt-3"
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/AdminWorkspacePanel.tsx","229","section","<div className='mt-3' role='tabpanel'>{tabContent}</div>","mt-3"
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/LifecyclePanel.tsx","76","article","<div className={`${URGENT_DOSSIER_CARD} p-4`}>",""
"src/app/components/lawyer/Dashboard_Active_Order_File/layout/PartiesSidebar.tsx","100","article","<div className={`${URGENT_DOSSIER_CARD} p-4`}>{content}</div>",""
"src/app/components/lawyer/Dashboard_Active_Order_File/modals/DossierEditModal.tsx","112","article","<div className='text-[11px] font-bold uppercase tracking-wide text-white/40 mb-2'>","text-[11px] font-bold uppercase tracking-wide text-white/40 mb-2"
"src/app/components/lawyer/Dashboard_Active_Order_File/modals/DossierEditModal.tsx","175","article","<div className='text-[11px] font-bold uppercase tracking-wide text-white/40'>الأطراف</div>","text-[11px] font-bold uppercase tracking-wide text-white/40"
"src/app/components/lawyer/Dashboard_Active_Order_File/panels/cassation/CassationPhaseBody.tsx","117","article","<div className='text-white font-bold'>{partyLabel(computedCassationFiledBy)}</div>","text-white font-bold"
"src/app/components/lawyer/Dashboard_Active_Order_File/panels/grievance/GrievanceFiledDetailsSection.tsx","31","article","<div className='text-white font-bold'>{partyLabel(computedGrievanceFiledBy)}</div>","text-white font-bold"
"src/app/components/lawyer/DecisionsAndAppealsEngine/hooks/appeal-renderers/useAppealEntryButtonsRenderer.tsx","146","header","<div className={DECISION_APPEAL_TOOLBAR_ROW}>",""
"src/app/components/lawyer/DocumentVault.tsx","480","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/DocumentVault.tsx","633","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/DocumentVault.tsx","682","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/DocumentVault.tsx","723","header","<div className={`${EXEC_OVERLAY_HEADER} gap-2`}>",""
"src/app/components/lawyer/dossier-notes/DossierFastNoteComposer.tsx","62","header","<div className={VAULT_RECORDER_HEADER}>",""
"src/app/components/lawyer/dossier-notes/DossierFastNoteComposer.tsx","218","article","<div className={`${REPO_COMPOSE_SHELL} mb-0`} data-testid='dossier-fast-note-composer'>",""
"src/app/components/lawyer/dossier-notes/DossierFastNoteComposer.tsx","277","article","<div className={`${REPO_COMPOSE_SHELL} mb-0`} data-testid='dossier-fast-note-composer'>",""
"src/app/components/lawyer/execution/evictionField/hooks/useEvictionFieldActionRenderers.tsx","125","section","return <div className='border-t border-white/10 px-3 py-3'>{panel}</div>;","border-t border-white/10 px-3 py-3"
