"file","line","type","snippet_60chars","is_production_file"
"src/app/components/lawyer/dashboard/ExecutionDashboardPortal.tsx","154","console:error","console.error('[ExecutionDossier] crash:'; error);","TRUE"
"src/app/components/lawyer/dashboard/ExecutionDashboardPortal.tsx","155","console:error","console.error('[ExecutionDossier] stack:'; errorInfo.componentStack);","TRUE"
"src/app/components/lawyer/dashboard/fieldTasks/FieldTasksManagerHost.tsx","72","throw-generic","throw new Error('TasksManagerOverlay missing');","TRUE"
"src/app/components/lawyer/dashboard/homeLiteErrorBoundary.tsx","20","console:error","console.error(`[${source}] render failed:`; error);","TRUE"
"src/app/components/lawyer/dashboard/SmartFileModalPortal.tsx","104","console:error","console.error('[LawsuitDossier] crash:'; error);","TRUE"
"src/app/components/lawyer/dashboard/SmartFileModalPortal.tsx","105","console:error","console.error('[LawsuitDossier] component stack:'; errorInfo.componentStack);","TRUE"
"src/app/components/lawyer/dashboard/TasksManager.tsx","126","throw-generic","throw new Error('NO_USER');","TRUE"
"src/app/components/lawyer/dashboard/TasksManager.tsx","139","throw-generic","throw new Error('CREATE_FAILED');","TRUE"
"src/app/components/lawyer/DecisionsAndAppealsEngine/hooks/useDecisionsAppealsHubUiState.ts","10","smell-tag:ToDo","scrollToDomIdWhenReady;","TRUE"
"src/app/components/lawyer/DecisionsAndAppealsEngine/hooks/useDecisionsAppealsHubUiState.ts","93","smell-tag:ToDo","return scrollToDomIdWhenReady(`hami-decision-card-${decisionsScrollTargetId}`; (","TRUE"
"src/app/components/lawyer/DeferredActiveOrderFile.tsx","102","console:error","console.error('[ActiveOrderFile] render error:'; error; info.componentStack);","TRUE"
"src/app/components/lawyer/ExecutionDashboard/followupModalContext.tsx","52","throw-generic","throw new Error('useFollowupModal must run inside FollowupModalStoreProvider');","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","2","smell-tag:ToDo","applyAppearanceThemeToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","3","smell-tag:ToDo","applyFontSizeToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","4","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","5","smell-tag:ToDo","applyHighContrastToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","6","smell-tag:ToDo","applyReduceMotionToDom;","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","44","smell-tag:ToDo","applyHighContrastToDom(Boolean(partial.highContrast));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","50","smell-tag:ToDo","applyFontSizeToDom(partial.fontSize);","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","56","smell-tag:ToDo","applyReduceMotionToDom(Boolean(partial.reduceMotion); snapshot.performance.enabl","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","61","smell-tag:ToDo","applyAppearanceThemeToDom(mergeAppearancePatch(snapshot; partial));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsAppearanceFastPath.ts","66","smell-tag:ToDo","applyGlassSurfaceAppearanceToDom(mergeAppearancePatch(snapshot; partial));","TRUE"
"src/app/components/lawyer/HamiSettings/hooks/settingsPatchApply.ts","2","smell-tag:ToDo","applySettingsToDom;","TRUE"
