file,line,col,category,message_snippet
src\app\components\lawyer\smart-modal\smartFile\cassationRemandTransition.ts,77,9,throw-prefix-missing,"applyCassationRemand: no distinct prior stage to remand to"
src\app\components\lawyer\smart-modal\smartFile\cassationRemandTransition.ts,81,9,throw-prefix-missing,"applyCassationRemand: remand source stage missing"
src\app\components\lawyer\smart-modal\smartFile\shareCaseReport.ts,53,9,throw-prefix-missing,"Web Share API not supported"
src\app\components\lawyer\SmartRepository\hooks\useRepositoryRoomActions.ts,101,21,throw-prefix-missing,"repository-room-delete-failed"
src\app\components\lawyer\SmartRepository\RepositoryErrorBoundary.tsx,24,13,console-prod-use,"console.error('[RepositoryErrorBoundary]', error);"
src\app\components\lawyer\SmartVaultModal\scannerCamera.ts,94,20,throw-prefix-missing,"invalid data url"
src\app\components\lawyer\SmartVaultModal\scannerCamera.ts,159,9,throw-prefix-missing,"UNSUPPORTED_CAMERA_API"
src\app\components\lawyer\SmartVaultModal\scannerCamera.ts,172,9,throw-prefix-missing,"UNSUPPORTED_CAMERA_API"
src\app\components\lawyer\SmartVaultModal\VaultPdfJsViewer.tsx,100,27,throw-prefix-missing,"canvas 2d unavailable"
src\app\components\lawyer\SmartVaultModal\VaultPdfJsViewer.tsx,112,25,console-prod-use,"console.error(`[vault-pdf] فشل رسم الصفحة ${pageNumber}`, err);"
src\app\components\lawyer\SmartVaultModal\VaultPdfJsViewer.tsx,238,21,console-prod-use,"console.error('[vault-pdf] فشل تحميل مستند PDF', err);"
src\app\components\lawyer\TransactionsThreading\copyTransactionsText.ts,10,13,throw-prefix-missing,"clipboard-unavailable"
src\app\components\lawyer\TransactionsThreading\copyTransactionsText.ts,20,18,throw-prefix-missing,"clipboard-unavailable"
src\app\components\lawyer\TransactionsThreading\TransactionsChunkGuard.tsx,15,9,console-prod-use,"console.error('transactions-chunk-guard', error, info.componentStack);"
src\app\components\lawyer\View_Urgent_And_Orders_Dashboard\UrgentDashboardOverlays.tsx,83,25,console-prod-use,"console.error('[UrgentOrders] form modal error:', error, info.componentStack);"
src\app\components\lawyer\View_Urgent_And_Orders_Dashboard\UrgentDashboardOverlays.tsx,118,29,console-prod-use,"console.error('[UrgentOrders] dossier panel error:', error, info.componentStack);"
