file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/components/admin/AdminLawEntry.tsx",130,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveDomain(""criminal""); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeDomain === "
"src/app/components/admin/AdminLawEntry.tsx",147,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveDomain(""civil""); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeDomain === ""c"
"src/app/components/admin/AdminLawEntry.tsx",164,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveDomain(""personal""); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeDomain === "
"src/app/components/admin/AdminLawEntry.tsx",186,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={tab} type=""button"" onClick={() => { setActiveCriminalLawTab(tab); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-xs font-bold transition"", activeCrimin"
"src/app/components/admin/AdminLawEntry.tsx",211,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={tab} type=""button"" onClick={() => { setActiveCivilLawTab(tab); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-xs font-bold transition"", activeCivilLawT"
"src/app/components/admin/AdminLawEntry.tsx",236,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={tab} type=""button"" onClick={() => { setActivePersonalLawTab(tab); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-xs font-bold transition"", activePerson"
"src/app/components/admin/AdminLawEntry.tsx",264,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveTab(""single""); setError(null); setSuccess(null); }} disabled={singleLoading || bulkLoading || browseLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activ"
"src/app/components/admin/AdminLawEntry.tsx",281,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveTab(""bulk""); setError(null); setSuccess(null); }} disabled={singleLoading || bulkLoading || browseLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeT"
"src/app/components/admin/AdminLawEntry.tsx",298,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveTab(""browse""); setError(null); setSuccess(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeTab === ""browse"
"src/app/components/admin/AdminLawEntry.tsx",391,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { hasLoadedBrowseRef.current = false; void loadBrowseArticles(); }} disabled={browseLoading} aria-busy={browseLoading || undefined} className=""rounded-lg border border-white/15 px-3 py-1.5 text-xs fon"
"src/app/components/admin/AdminLawEntry.tsx",410,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={sectionId} type=""button"" onClick={() => { setHierarchySectionId(sectionId); setHierarchyFilterId(null); }} className={cn( ""rounded-lg border px-3 py-2 text-xs font-bold transition"", hierarchySectionId === sectionId ? ""bord"
"src/app/components/admin/AdminLawEntry.tsx",451,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => setHierarchyFilterId(filter.id)} className={cn( ""px-3 py-2 text-xs font-bold transition"", isActive ? ""text-[#E6C673]"" : ""text-white/80 hover:text-[#E6C673]"", )} >"
"src/app/components/admin/AdminLawEntry.tsx",466,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" title={ isPinned ? ""إلغاء التثبيت"" : ""تثبيت هذا النطاق"" } onClick={(e) => { e.stopPropagation(); if (isPinned) { handleUnpinHierarchyFilter(); } else { handlePinHierarchyFilter( hierarchySectionId, filter.id, ); "
